location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,2.33,3.51,0.03,0.5,1.62,1,1.73,3.98,9.85,9.06,10.07,11.07,10.17,9.72,9.23,
Austria,10.47,8.82,8.95,9.17,9.21,10.74,11.3,12.09,11.95,11.26,9.28,7.88,9.22,7.34,7.8,
Belgium,10.42,11.91,11.02,10.56,8.88,8.52,9.16,9.44,10,11.4,8.19,6.59,6.36,4.98,5.1,
Canada,3.78,3.57,2.3,1.66,2.25,1.54,3.46,2.92,3.92,5.14,4.28,4.28,4.98,4.93,3.81,
Chile,,,,12.47,11.55,11.7,11.44,9.62,7.27,12.11,8.27,8.4,9.76,9.57,8.87,
China (PRC),28.25,28.01,27.21,30.22,30.57,31.51,34.35,35.8,37.32,37.84,38.99,38.1,38.11,38.46,38.46,
Czech Republic,6.01,6.22,6.28,5.69,4.85,6.1,7.84,7.02,6.3,8.51,7.61,6.03,5.99,5.62,6.59,6.63
Denmark,-5.99,0.05,1.18,1.82,-2.23,-4.59,-1.73,-3.14,-4.18,0.84,2.13,0.91,0.74,1.19,-2.76,4.97
Estonia,0.33,-1.83,-9.49,-9.25,-10.77,-10.25,-10.73,-6.72,2,7.31,4.1,5.17,2.04,3.99,3.38,
Finland,3.02,2.69,2.71,2.26,3.02,1,-0.45,-0.37,-0.24,3.38,3.15,1.32,0.71,1.52,-0.2,
France,10.04,10.66,11.63,10.86,10.95,9.41,9.38,9.77,9.46,10.82,10.35,10.04,9.46,8.74,8.75,8.89
Germany,9,9.62,9.63,10.12,10.11,10.1,10.08,10.24,10.48,9.95,9.97,9.56,9.26,9.14,9.52,
Greece,-1.43,-1.8,-2.01,0.93,1.15,-2.86,-0.05,-1.23,-3.84,-1.13,-6.9,-8.86,-10.91,-15.65,-17.28,
Hungary,5.32,6.01,3.1,1.68,4.5,5.67,6.28,2.2,1.5,3.63,3.58,4.1,2.57,3.89,4.91,
Ireland,-3.79,1.05,-0.7,-0.51,0.27,0.74,-1.99,-2.13,3.94,9.37,6.4,3.57,3.48,0.97,-0.4,
Italy,7.4,8.89,9.59,9.09,9.55,9.03,8.44,8,7.75,6.98,4.1,3.6,1.85,3.5,2.97,2.91
Japan,6.98,3.78,3.29,2.68,2.31,1.55,1.31,1.08,0.56,2.28,2.15,2.64,1.36,0.03,-0.47,
Korea,,,,,,6.72,5.47,3.55,3.76,4.83,4.66,3.86,3.9,5.6,7.18,
Latvia,-9.45,-9.23,-8.54,-6.48,-6.99,-5.08,-10.14,-8.35,3.75,7.06,-2.29,-14.2,-15.49,-14.35,-11.24,
Mexico,,,,10.11,8.62,8.18,9.1,8.35,8.11,8.38,8.77,6.87,6.06,5.36,5.36,
Netherlands,6.24,8.09,7.87,7.43,6.82,5.66,3.85,3.86,3.73,7.12,4.89,5.79,7.17,7.3,6.25,6
New Zealand,-2.52,-1.37,-6.4,-3.91,-3.47,-5.43,-3.58,0.09,-1.81,1.43,2.39,2.6,2.36,2.1,2.1,
Norway,4.27,3.08,8.19,8.78,6.91,9.67,-0.45,0.9,3.64,5.15,3.95,5.8,7.09,7.59,8.77,9.11
Poland,11.04,12.36,8.95,7.93,4.02,3.05,2.75,2.18,0.81,3.22,2.38,-1.09,-1.11,-0.07,-0.71,
Portugal,3.47,4.05,3.86,2.7,2.71,1.79,0.36,-0.78,-1.13,2.73,1.34,-0.92,-0.46,-0.24,-2.49,-4.06
Russia,,,,,,10.99,12.37,12.07,10.11,13.13,15.5,13.76,12.45,10.87,10.87,
Slovak Republic,5.84,3.69,3.35,1.07,0.34,1.1,0.13,1.9,0.78,2.33,4.66,2.88,1.74,2.91,3.82,
Slovenia,6.72,8.4,8.53,6.1,7.12,9.36,11.08,9.42,9.74,7.72,6.11,5.54,3.19,5.65,6.49,
South Africa,,,,,,,,,-1.08,-0.53,-0.83,-1.05,-2.08,-2.48,-2.4,
Spain,5.77,5.47,5.24,6.73,5,3.23,1.39,-0.96,1.57,7.3,3.69,4.65,2.63,4.2,3.88,
Sweden,4.01,8.01,7.77,6.56,5.82,5.41,6.92,9.36,12.67,12.2,11.02,12.73,15.32,15.07,15.21,15.72
Switzerland,15.31,15.52,15.29,14.83,13.7,13.97,15.8,17.41,16.67,17.05,17.01,17.84,18.47,19.03,19.03,
United Kingdom,4.26,4.94,3.55,2.18,0.51,-0.21,-1.06,-0.52,-0.81,3.82,5.67,3.42,2.68,0.58,0.51,-0.18
United States,4.33,4.51,5.2,5.01,4.72,2.69,3.44,3.08,5.09,6.35,5.82,6.23,7.89,4.92,4.97,